p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
7.81E-89,0.866646111,0.4,0.164,1.39E-84,Uncilicated Epithelium RIF Vs Ctrl,EDN1
0,0.864447724,0.975,0.948,0,Uncilicated Epithelium RIF Vs Ctrl,RPS29
1.04E-253,0.857094636,0.926,0.833,1.86E-249,Uncilicated Epithelium RIF Vs Ctrl,DBI
9.08E-190,0.855553666,0.876,0.723,1.62E-185,Uncilicated Epithelium RIF Vs Ctrl,SNRPG
1.77E-165,0.85439472,0.587,0.235,3.16E-161,Uncilicated Epithelium RIF Vs Ctrl,PCLAF
0,0.849451977,0.958,0.853,0,Uncilicated Epithelium RIF Vs Ctrl,RPL38
5.77E-179,0.844617564,0.661,0.296,1.03E-174,Uncilicated Epithelium RIF Vs Ctrl,KLK10
2.79E-238,0.832302892,0.868,0.639,4.98E-234,Uncilicated Epithelium RIF Vs Ctrl,TXNDC17
3.45E-191,0.830772574,0.834,0.619,6.17E-187,Uncilicated Epithelium RIF Vs Ctrl,SLIRP
6.62E-162,0.823197496,0.973,0.912,1.18E-157,Uncilicated Epithelium RIF Vs Ctrl,ANXA1
7.54E-153,0.821817944,0.786,0.488,1.35E-148,Uncilicated Epithelium RIF Vs Ctrl,RND3
4.20E-169,0.821639149,0.519,0.18,7.51E-165,Uncilicated Epithelium RIF Vs Ctrl,CENPW
2.15E-192,0.821316669,0.399,0.064,3.84E-188,Uncilicated Epithelium RIF Vs Ctrl,ANKFN1
9.33E-203,0.819182797,0.882,0.673,1.67E-198,Uncilicated Epithelium RIF Vs Ctrl,ACTN4
8.59E-159,0.818396394,0.405,0.092,1.54E-154,Uncilicated Epithelium RIF Vs Ctrl,TNF
2.87E-109,0.80598645,0.882,0.803,5.12E-105,Uncilicated Epithelium RIF Vs Ctrl,TUBA1B
3.90E-76,0.799776128,0.721,0.538,6.96E-72,Uncilicated Epithelium RIF Vs Ctrl,BCAT1
5.23E-101,0.796956712,0.698,0.468,9.34E-97,Uncilicated Epithelium RIF Vs Ctrl,RAB11FIP1
1.78E-158,0.787579154,0.443,0.124,3.19E-154,Uncilicated Epithelium RIF Vs Ctrl,NR4A1
1.58E-106,0.787217574,0.835,0.663,2.83E-102,Uncilicated Epithelium RIF Vs Ctrl,SQSTM1
1.77E-135,0.785873258,0.705,0.41,3.16E-131,Uncilicated Epithelium RIF Vs Ctrl,FASN
6.10E-147,0.783158294,0.623,0.281,1.09E-142,Uncilicated Epithelium RIF Vs Ctrl,KRT23
1.92E-95,0.77278424,0.417,0.174,3.44E-91,Uncilicated Epithelium RIF Vs Ctrl,NCEH1
4.08E-98,0.769484535,0.614,0.36,7.29E-94,Uncilicated Epithelium RIF Vs Ctrl,SDC4
5.86E-115,0.768446016,0.951,0.928,1.05E-110,Uncilicated Epithelium RIF Vs Ctrl,HSP90AA1
4.09E-141,0.767842954,0.612,0.296,7.30E-137,Uncilicated Epithelium RIF Vs Ctrl,SFN
8.65E-102,0.767679213,0.88,0.801,1.55E-97,Uncilicated Epithelium RIF Vs Ctrl,CAPS
2.12E-131,0.763000587,0.486,0.178,3.80E-127,Uncilicated Epithelium RIF Vs Ctrl,MACC1
3.40E-86,0.755972476,0.222,0.044,6.08E-82,Uncilicated Epithelium RIF Vs Ctrl,LTF
1.59E-58,0.75172764,0.603,0.408,2.84E-54,Uncilicated Epithelium RIF Vs Ctrl,SDF2L1
3.94E-21,0.748569598,0.476,0.354,7.03E-17,Uncilicated Epithelium RIF Vs Ctrl,HDAC9
5.19E-116,0.745842282,0.97,0.904,9.28E-112,Uncilicated Epithelium RIF Vs Ctrl,SLPI
1.58E-109,0.744762817,0.164,0,2.82E-105,Uncilicated Epithelium RIF Vs Ctrl,PENK
1.05E-191,0.74434033,0.841,0.603,1.87E-187,Uncilicated Epithelium RIF Vs Ctrl,NDUFC1
1.26E-172,0.743900637,0.698,0.378,2.26E-168,Uncilicated Epithelium RIF Vs Ctrl,RPS17
1.96E-159,0.743624018,0.732,0.416,3.50E-155,Uncilicated Epithelium RIF Vs Ctrl,EBP
9.98E-115,0.736021663,0.432,0.153,1.78E-110,Uncilicated Epithelium RIF Vs Ctrl,CD83
2.09E-215,0.733986768,0.948,0.83,3.73E-211,Uncilicated Epithelium RIF Vs Ctrl,CALM1
7.66E-59,0.732926574,0.344,0.16,1.37E-54,Uncilicated Epithelium RIF Vs Ctrl,DNAH11
3.42E-99,0.729873115,0.499,0.239,6.10E-95,Uncilicated Epithelium RIF Vs Ctrl,PTTG1
1.45E-83,0.729687197,0.956,0.946,2.58E-79,Uncilicated Epithelium RIF Vs Ctrl,H2AZ1
9.08E-130,0.728246223,0.433,0.145,1.62E-125,Uncilicated Epithelium RIF Vs Ctrl,RCAN1
3.96E-82,0.726090751,0.688,0.489,7.08E-78,Uncilicated Epithelium RIF Vs Ctrl,UBE2S
1.66E-122,0.72597948,0.544,0.247,2.97E-118,Uncilicated Epithelium RIF Vs Ctrl,PMAIP1
1.26E-184,0.724104897,0.992,0.976,2.25E-180,Uncilicated Epithelium RIF Vs Ctrl,KRT8
3.25E-124,0.722520276,0.869,0.712,5.80E-120,Uncilicated Epithelium RIF Vs Ctrl,TUBB4B
7.97E-164,0.719673662,0.86,0.676,1.42E-159,Uncilicated Epithelium RIF Vs Ctrl,POLR2L
1.79E-72,0.719643678,0.787,0.642,3.20E-68,Uncilicated Epithelium RIF Vs Ctrl,FOSB
5.36E-50,0.71610289,0.514,0.333,9.58E-46,Uncilicated Epithelium RIF Vs Ctrl,CD69
2.09E-121,0.714670959,0.657,0.377,3.73E-117,Uncilicated Epithelium RIF Vs Ctrl,MAFF
1.02E-150,0.71420272,0.895,0.796,1.82E-146,Uncilicated Epithelium RIF Vs Ctrl,HSPE1
4.69E-189,0.712451582,0.735,0.382,8.38E-185,Uncilicated Epithelium RIF Vs Ctrl,RPL36A
1.15E-145,0.706256433,0.852,0.718,2.06E-141,Uncilicated Epithelium RIF Vs Ctrl,ATP5MC1
0,0.706252871,0.99,0.981,0,Uncilicated Epithelium RIF Vs Ctrl,RPL37
1.96E-66,0.704703477,0.714,0.488,3.50E-62,Uncilicated Epithelium RIF Vs Ctrl,SCGB1D2
1.46E-151,0.695220793,0.847,0.645,2.60E-147,Uncilicated Epithelium RIF Vs Ctrl,HNRNPM
9.20E-71,0.693635991,0.433,0.226,1.64E-66,Uncilicated Epithelium RIF Vs Ctrl,HMGB2
1.01E-155,0.692850622,0.794,0.567,1.80E-151,Uncilicated Epithelium RIF Vs Ctrl,MICOS10
1.57E-192,0.692776813,0.959,0.932,2.80E-188,Uncilicated Epithelium RIF Vs Ctrl,SEC61G
1.32E-153,0.685883502,0.713,0.392,2.36E-149,Uncilicated Epithelium RIF Vs Ctrl,ST6GALNAC1
2.63E-116,0.684871457,0.729,0.429,4.70E-112,Uncilicated Epithelium RIF Vs Ctrl,MSX1
4.50E-83,0.680823272,0.643,0.409,8.05E-79,Uncilicated Epithelium RIF Vs Ctrl,ELOVL5
1.88E-67,0.68068678,0.757,0.592,3.36E-63,Uncilicated Epithelium RIF Vs Ctrl,BTG1
3.79E-146,0.678582216,0.854,0.71,6.77E-142,Uncilicated Epithelium RIF Vs Ctrl,SNRPE
1.82E-213,0.674701888,0.934,0.859,3.24E-209,Uncilicated Epithelium RIF Vs Ctrl,TMEM258
9.81E-83,0.674145555,0.584,0.332,1.75E-78,Uncilicated Epithelium RIF Vs Ctrl,GADD45B
1.23E-206,0.671871359,0.927,0.823,2.19E-202,Uncilicated Epithelium RIF Vs Ctrl,ATP5MG
9.56E-146,0.666214865,0.818,0.623,1.71E-141,Uncilicated Epithelium RIF Vs Ctrl,COPS9
9.95E-182,0.661836084,0.932,0.832,1.78E-177,Uncilicated Epithelium RIF Vs Ctrl,ATP5IF1
1.02E-110,0.659457732,0.575,0.286,1.83E-106,Uncilicated Epithelium RIF Vs Ctrl,PLK2
1.97E-78,0.659136031,0.317,0.11,3.52E-74,Uncilicated Epithelium RIF Vs Ctrl,UBE2C
6.47E-102,0.652333513,0.813,0.655,1.16E-97,Uncilicated Epithelium RIF Vs Ctrl,IER3
1.43E-183,0.648061836,0.327,0.031,2.55E-179,Uncilicated Epithelium RIF Vs Ctrl,AQP5
1.75E-75,0.646218686,0.682,0.444,3.12E-71,Uncilicated Epithelium RIF Vs Ctrl,MSMO1
4.15E-130,0.643560767,0.9,0.751,7.42E-126,Uncilicated Epithelium RIF Vs Ctrl,LMNA
6.12E-104,0.640086676,0.716,0.493,1.09E-99,Uncilicated Epithelium RIF Vs Ctrl,HNRNPAB
1.98E-89,0.64000021,0.576,0.318,3.53E-85,Uncilicated Epithelium RIF Vs Ctrl,NQO1
1.55E-98,0.638942708,0.417,0.164,2.76E-94,Uncilicated Epithelium RIF Vs Ctrl,CCNB1
1.96E-257,0.638281567,0.977,0.97,3.50E-253,Uncilicated Epithelium RIF Vs Ctrl,RPL35
9.31E-87,0.632542257,0.837,0.696,1.66E-82,Uncilicated Epithelium RIF Vs Ctrl,LGALS1
7.51E-80,0.632505348,0.577,0.337,1.34E-75,Uncilicated Epithelium RIF Vs Ctrl,BTG2
3.18E-67,0.628853776,0.613,0.398,5.67E-63,Uncilicated Epithelium RIF Vs Ctrl,ID4
1.19E-64,0.625459243,0.861,0.744,2.13E-60,Uncilicated Epithelium RIF Vs Ctrl,IER2
6.71E-151,0.623646913,0.673,0.338,1.20E-146,Uncilicated Epithelium RIF Vs Ctrl,COX20
3.32E-155,0.623641754,0.903,0.81,5.92E-151,Uncilicated Epithelium RIF Vs Ctrl,UQCR10
3.80E-92,0.622962536,0.66,0.398,6.79E-88,Uncilicated Epithelium RIF Vs Ctrl,PHLDA2
3.33E-187,0.616091207,0.966,0.943,5.95E-183,Uncilicated Epithelium RIF Vs Ctrl,RPS11
6.43E-148,0.615276281,0.41,0.106,1.15E-143,Uncilicated Epithelium RIF Vs Ctrl,PCSK9
3.12E-123,0.614547086,0.817,0.614,5.58E-119,Uncilicated Epithelium RIF Vs Ctrl,NDUFB1
2.61E-29,0.614438827,0.38,0.242,4.66E-25,Uncilicated Epithelium RIF Vs Ctrl,IGFBP3
3.57E-155,0.613908278,0.398,0.09,6.38E-151,Uncilicated Epithelium RIF Vs Ctrl,NFKBID
0,0.611948149,0.993,0.992,0,Uncilicated Epithelium RIF Vs Ctrl,RPL41
3.14E-120,0.611412106,0.283,0.049,5.60E-116,Uncilicated Epithelium RIF Vs Ctrl,SNCB
3.01E-54,0.610617121,0.898,0.814,5.37E-50,Uncilicated Epithelium RIF Vs Ctrl,SOX4
7.48E-135,0.609276202,0.878,0.738,1.34E-130,Uncilicated Epithelium RIF Vs Ctrl,DDT
9.29E-95,0.608615013,0.705,0.491,1.66E-90,Uncilicated Epithelium RIF Vs Ctrl,DUT
2.42E-161,0.6066139,0.377,0.071,4.33E-157,Uncilicated Epithelium RIF Vs Ctrl,SPINK5
5.34E-62,0.605846864,0.485,0.271,9.53E-58,Uncilicated Epithelium RIF Vs Ctrl,S100A2
3.70E-101,0.603426626,0.83,0.666,6.61E-97,Uncilicated Epithelium RIF Vs Ctrl,JPT1
2.86E-65,0.60339229,0.798,0.641,5.11E-61,Uncilicated Epithelium RIF Vs Ctrl,AGPAT2
9.33E-158,0.601679954,0.924,0.82,1.67E-153,Uncilicated Epithelium RIF Vs Ctrl,UBL5
1.10E-104,0.600925878,0.726,0.486,1.97E-100,Uncilicated Epithelium RIF Vs Ctrl,TMEM141
4.20E-74,0.600851808,0.744,0.564,7.51E-70,Uncilicated Epithelium RIF Vs Ctrl,CCND1
2.92E-137,0.598671156,0.837,0.614,5.22E-133,Uncilicated Epithelium RIF Vs Ctrl,NDUFA1
6.11E-131,0.595962931,0.966,0.909,1.09E-126,Uncilicated Epithelium RIF Vs Ctrl,DYNLL1
1.05E-200,0.594034878,0.95,0.945,1.88E-196,Uncilicated Epithelium RIF Vs Ctrl,RPL27
8.96E-22,0.589742027,0.526,0.425,1.60E-17,Uncilicated Epithelium RIF Vs Ctrl,THSD4
1.25E-124,0.589332946,0.828,0.617,2.24E-120,Uncilicated Epithelium RIF Vs Ctrl,ATP5MF
5.94E-78,0.588875187,0.513,0.262,1.06E-73,Uncilicated Epithelium RIF Vs Ctrl,TEX14
2.39E-145,0.588418597,0.918,0.822,4.27E-141,Uncilicated Epithelium RIF Vs Ctrl,UQCRQ
5.92E-98,0.584875915,0.383,0.133,1.06E-93,Uncilicated Epithelium RIF Vs Ctrl,CENPF
8.15E-126,0.584188762,0.557,0.246,1.46E-121,Uncilicated Epithelium RIF Vs Ctrl,DHCR7
8.28E-140,0.582040111,0.935,0.888,1.48E-135,Uncilicated Epithelium RIF Vs Ctrl,PPP1R14B
4.80E-87,0.579720962,0.618,0.366,8.58E-83,Uncilicated Epithelium RIF Vs Ctrl,FADS1
1.24E-53,0.579177186,0.745,0.608,2.21E-49,Uncilicated Epithelium RIF Vs Ctrl,JUNB
1.11E-155,0.576217608,0.94,0.858,1.98E-151,Uncilicated Epithelium RIF Vs Ctrl,OST4
1.82E-70,0.57574636,0.474,0.262,3.25E-66,Uncilicated Epithelium RIF Vs Ctrl,H2AX
3.16E-110,0.574653369,0.954,0.894,5.65E-106,Uncilicated Epithelium RIF Vs Ctrl,EZR
1.39E-108,0.564866058,0.907,0.806,2.48E-104,Uncilicated Epithelium RIF Vs Ctrl,MARCKSL1
9.86E-162,0.563995474,0.937,0.884,1.76E-157,Uncilicated Epithelium RIF Vs Ctrl,RPL36AL
8.52E-124,0.561306066,0.399,0.119,1.52E-119,Uncilicated Epithelium RIF Vs Ctrl,BIRC5
4.86E-114,0.559518165,0.974,0.95,8.68E-110,Uncilicated Epithelium RIF Vs Ctrl,PKM
6.02E-47,0.55569758,0.649,0.456,1.08E-42,Uncilicated Epithelium RIF Vs Ctrl,SELENOK
1.41E-91,0.555408962,0.464,0.208,2.53E-87,Uncilicated Epithelium RIF Vs Ctrl,IRF1
3.41E-111,0.555181371,0.882,0.755,6.09E-107,Uncilicated Epithelium RIF Vs Ctrl,TPM3
9.05E-52,0.554768787,0.721,0.574,1.62E-47,Uncilicated Epithelium RIF Vs Ctrl,HES4
6.91E-115,0.552931654,0.889,0.774,1.23E-110,Uncilicated Epithelium RIF Vs Ctrl,ATP5ME
3.92E-157,0.552332299,0.937,0.859,7.00E-153,Uncilicated Epithelium RIF Vs Ctrl,SEM1
1.87E-80,0.549865828,0.348,0.127,3.34E-76,Uncilicated Epithelium RIF Vs Ctrl,TOP2A
4.93E-105,0.541245465,0.495,0.211,8.81E-101,Uncilicated Epithelium RIF Vs Ctrl,PLAUR
5.16E-92,0.540823331,0.893,0.788,9.22E-88,Uncilicated Epithelium RIF Vs Ctrl,NCL
1.05E-50,0.538845165,0.31,0.145,1.88E-46,Uncilicated Epithelium RIF Vs Ctrl,TAF4B
8.40E-145,0.537979522,0.957,0.931,1.50E-140,Uncilicated Epithelium RIF Vs Ctrl,ATP5F1E
4.39E-79,0.537751773,0.471,0.229,7.85E-75,Uncilicated Epithelium RIF Vs Ctrl,SEMA3A
2.70E-70,0.53703798,0.939,0.917,4.82E-66,Uncilicated Epithelium RIF Vs Ctrl,PPIB
1.77E-98,0.532036922,0.334,0.099,3.16E-94,Uncilicated Epithelium RIF Vs Ctrl,CDC20
6.38E-79,0.531584407,0.818,0.706,1.14E-74,Uncilicated Epithelium RIF Vs Ctrl,LSM4
1.87E-70,0.531308388,0.59,0.384,3.34E-66,Uncilicated Epithelium RIF Vs Ctrl,DTYMK
1.73E-66,0.530430477,0.592,0.359,3.10E-62,Uncilicated Epithelium RIF Vs Ctrl,SEC11C
2.52E-78,0.528309748,0.82,0.644,4.50E-74,Uncilicated Epithelium RIF Vs Ctrl,FDFT1
1.05E-263,0.528296652,0.995,0.995,1.88E-259,Uncilicated Epithelium RIF Vs Ctrl,RPS28
8.28E-129,0.52757545,0.974,0.968,1.48E-124,Uncilicated Epithelium RIF Vs Ctrl,PFN1
5.68E-66,0.526770121,0.76,0.623,1.01E-61,Uncilicated Epithelium RIF Vs Ctrl,S100A16
2.12E-60,0.525858469,0.823,0.712,3.80E-56,Uncilicated Epithelium RIF Vs Ctrl,TUBA1C
1.63E-72,0.525490952,0.599,0.389,2.91E-68,Uncilicated Epithelium RIF Vs Ctrl,CENPX
1.19E-89,0.522002336,0.763,0.548,2.13E-85,Uncilicated Epithelium RIF Vs Ctrl,CYCS
5.72E-76,0.519703388,0.526,0.291,1.02E-71,Uncilicated Epithelium RIF Vs Ctrl,HSPA1B
7.88E-104,0.516764647,0.499,0.221,1.41E-99,Uncilicated Epithelium RIF Vs Ctrl,TYMS
1.33E-116,0.514866988,0.99,0.971,2.37E-112,Uncilicated Epithelium RIF Vs Ctrl,KRT18
5.23E-108,0.511405441,0.925,0.838,9.34E-104,Uncilicated Epithelium RIF Vs Ctrl,ATP5MK
1.25E-72,0.511140597,0.505,0.274,2.23E-68,Uncilicated Epithelium RIF Vs Ctrl,MAP3K8
3.92E-92,0.509344809,0.867,0.736,7.01E-88,Uncilicated Epithelium RIF Vs Ctrl,EIF1AX
7.18E-86,0.508749107,0.917,0.862,1.28E-81,Uncilicated Epithelium RIF Vs Ctrl,HNRNPA2B1
7.78E-71,0.508413508,0.861,0.764,1.39E-66,Uncilicated Epithelium RIF Vs Ctrl,NUCKS1
2.55E-57,0.508315548,0.589,0.401,4.55E-53,Uncilicated Epithelium RIF Vs Ctrl,IL1R1
5.57E-57,0.50659203,0.142,0.024,9.96E-53,Uncilicated Epithelium RIF Vs Ctrl,CCL2
8.23E-74,0.500737046,0.469,0.241,1.47E-69,Uncilicated Epithelium RIF Vs Ctrl,HES6
2.43E-80,0.498899936,0.908,0.885,4.35E-76,Uncilicated Epithelium RIF Vs Ctrl,RAN
4.15E-67,0.498636993,0.703,0.517,7.42E-63,Uncilicated Epithelium RIF Vs Ctrl,NASP
3.72E-70,0.498038764,0.695,0.515,6.64E-66,Uncilicated Epithelium RIF Vs Ctrl,H2AZ2
7.27E-90,0.497523468,0.336,0.109,1.30E-85,Uncilicated Epithelium RIF Vs Ctrl,MKI67
1.14E-87,0.497455674,0.792,0.58,2.04E-83,Uncilicated Epithelium RIF Vs Ctrl,ROMO1
1.29E-63,0.497192514,0.661,0.443,2.30E-59,Uncilicated Epithelium RIF Vs Ctrl,NFKBIZ
3.63E-108,0.495434599,0.906,0.796,6.49E-104,Uncilicated Epithelium RIF Vs Ctrl,ARF1
2.25E-96,0.49354479,0.354,0.117,4.02E-92,Uncilicated Epithelium RIF Vs Ctrl,CDKN3
1.06E-82,0.490475452,0.457,0.217,1.90E-78,Uncilicated Epithelium RIF Vs Ctrl,ECT2
8.72E-79,0.48909956,0.623,0.371,1.56E-74,Uncilicated Epithelium RIF Vs Ctrl,REL
2.20E-99,0.488354128,0.727,0.486,3.93E-95,Uncilicated Epithelium RIF Vs Ctrl,PDCD5
2.77E-66,0.487124841,0.512,0.289,4.96E-62,Uncilicated Epithelium RIF Vs Ctrl,ARL5B
1.97E-97,0.486525128,0.845,0.686,3.51E-93,Uncilicated Epithelium RIF Vs Ctrl,NDUFB4
4.84E-88,0.48641231,0.598,0.331,8.65E-84,Uncilicated Epithelium RIF Vs Ctrl,ERG28
1.82E-99,0.485365308,0.846,0.685,3.26E-95,Uncilicated Epithelium RIF Vs Ctrl,EID1
2.87E-21,0.483578236,0.438,0.308,5.12E-17,Uncilicated Epithelium RIF Vs Ctrl,HYOU1
9.84E-47,0.482680588,0.561,0.38,1.76E-42,Uncilicated Epithelium RIF Vs Ctrl,GLUD1
1.35E-67,0.481890189,0.999,0.998,2.41E-63,Uncilicated Epithelium RIF Vs Ctrl,GAPDH
2.15E-189,0.480513027,0.992,0.989,3.85E-185,Uncilicated Epithelium RIF Vs Ctrl,SERF2
2.24E-112,0.479845858,0.933,0.849,4.01E-108,Uncilicated Epithelium RIF Vs Ctrl,DSTN
6.37E-151,0.479256616,0.954,0.944,1.14E-146,Uncilicated Epithelium RIF Vs Ctrl,COX7C
4.42E-33,0.476929508,0.614,0.47,7.89E-29,Uncilicated Epithelium RIF Vs Ctrl,HSPA1A
2.19E-84,0.470960667,0.463,0.216,3.91E-80,Uncilicated Epithelium RIF Vs Ctrl,TK1
1.35E-111,0.470911065,0.917,0.893,2.41E-107,Uncilicated Epithelium RIF Vs Ctrl,COX7A2
1.92E-65,0.469970282,0.66,0.45,3.43E-61,Uncilicated Epithelium RIF Vs Ctrl,ARL6IP1
9.70E-18,0.467268306,0.869,0.896,1.73E-13,Uncilicated Epithelium RIF Vs Ctrl,HSPA5
3.90E-154,0.466604635,0.964,0.951,6.98E-150,Uncilicated Epithelium RIF Vs Ctrl,UBA52
6.32E-78,0.465656732,0.393,0.163,1.13E-73,Uncilicated Epithelium RIF Vs Ctrl,TM4SF1
6.98E-99,0.464932992,0.346,0.107,1.25E-94,Uncilicated Epithelium RIF Vs Ctrl,NOCT
3.10E-66,0.463905133,0.823,0.723,5.53E-62,Uncilicated Epithelium RIF Vs Ctrl,SNRPD1
4.82E-84,0.462643843,0.541,0.291,8.62E-80,Uncilicated Epithelium RIF Vs Ctrl,HMGB3
1.32E-80,0.461237706,0.595,0.345,2.36E-76,Uncilicated Epithelium RIF Vs Ctrl,PGP
6.48E-48,0.461231478,0.468,0.274,1.16E-43,Uncilicated Epithelium RIF Vs Ctrl,P4HA2
