p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.09E-78,0.646248193,0.681,0.327,3.74E-74,Unciliated epithelium RIF-1 Vs Ctrl,TSPAN1
7.21E-107,0.644221945,0.945,0.884,1.29E-102,Unciliated epithelium RIF-1 Vs Ctrl,RPL36AL
4.07E-85,0.640869285,0.671,0.327,7.28E-81,Unciliated epithelium RIF-1 Vs Ctrl,UQCC2
2.46E-96,0.639810778,0.939,0.859,4.39E-92,Unciliated epithelium RIF-1 Vs Ctrl,SEM1
4.24E-167,0.636931381,0.281,0.006,7.58E-163,Unciliated epithelium RIF-1 Vs Ctrl,CAPN6
1.87E-46,0.63471082,0.688,0.439,3.34E-42,Unciliated epithelium RIF-1 Vs Ctrl,LDLR
1.09E-81,0.633583431,0.907,0.775,1.95E-77,Unciliated epithelium RIF-1 Vs Ctrl,ATP5MJ
5.65E-64,0.633145713,0.926,0.885,1.01E-59,Unciliated epithelium RIF-1 Vs Ctrl,RAN
8.17E-65,0.632430552,0.88,0.723,1.46E-60,Unciliated epithelium RIF-1 Vs Ctrl,SNRPD1
1.17E-69,0.632232244,0.735,0.409,2.09E-65,Unciliated epithelium RIF-1 Vs Ctrl,EMP2
6.63E-16,0.631007518,0.733,0.676,1.18E-11,Unciliated epithelium RIF-1 Vs Ctrl,JUN
3.80E-126,0.630516831,0.404,0.072,6.79E-122,Unciliated epithelium RIF-1 Vs Ctrl,RGCC
2.08E-91,0.629942765,0.536,0.19,3.72E-87,Unciliated epithelium RIF-1 Vs Ctrl,SFTA2
6.75E-72,0.621705308,0.967,0.909,1.21E-67,Unciliated epithelium RIF-1 Vs Ctrl,DYNLL1
2.97E-70,0.618131168,0.899,0.722,5.30E-66,Unciliated epithelium RIF-1 Vs Ctrl,PTMS
2.46E-58,0.617104539,0.734,0.504,4.40E-54,Unciliated epithelium RIF-1 Vs Ctrl,LSM3
1.21E-20,0.61602066,0.817,0.749,2.16E-16,Unciliated epithelium RIF-1 Vs Ctrl,NFKBIA
1.22E-53,0.611916603,0.688,0.409,2.18E-49,Unciliated epithelium RIF-1 Vs Ctrl,ELOVL5
7.15E-101,0.611135985,0.978,0.966,1.28E-96,Unciliated epithelium RIF-1 Vs Ctrl,HSP90AB1
1.38E-59,0.608817648,0.708,0.41,2.47E-55,Unciliated epithelium RIF-1 Vs Ctrl,FASN
1.72E-51,0.608395536,0.785,0.562,3.08E-47,Unciliated epithelium RIF-1 Vs Ctrl,NME1
1.02E-68,0.606133781,0.624,0.307,1.83E-64,Unciliated epithelium RIF-1 Vs Ctrl,NHERF1
1.74E-63,0.60447988,0.791,0.544,3.11E-59,Unciliated epithelium RIF-1 Vs Ctrl,TIMM8B
9.69E-60,0.603952357,0.879,0.802,1.73E-55,Unciliated epithelium RIF-1 Vs Ctrl,PSMA7
5.56E-57,0.599999232,0.848,0.666,9.94E-53,Unciliated epithelium RIF-1 Vs Ctrl,JPT1
1.67E-57,0.599511073,0.528,0.25,2.98E-53,Unciliated epithelium RIF-1 Vs Ctrl,RARRES2
2.03E-38,0.598994804,0.837,0.607,3.62E-34,Unciliated epithelium RIF-1 Vs Ctrl,CALD1
2.44E-54,0.598419882,0.94,0.879,4.36E-50,Unciliated epithelium RIF-1 Vs Ctrl,TUBB
1.34E-71,0.59820067,0.661,0.338,2.39E-67,Unciliated epithelium RIF-1 Vs Ctrl,COX20
7.90E-62,0.59501004,0.845,0.686,1.41E-57,Unciliated epithelium RIF-1 Vs Ctrl,NDUFB4
4.91E-106,0.595006452,0.46,0.117,8.77E-102,Unciliated epithelium RIF-1 Vs Ctrl,NPDC1
2.67E-67,0.592764443,0.925,0.836,4.77E-63,Unciliated epithelium RIF-1 Vs Ctrl,COX6B1
2.23E-59,0.591574666,0.27,0.069,3.99E-55,Unciliated epithelium RIF-1 Vs Ctrl,NNMT
6.60E-60,0.591553664,0.644,0.345,1.18E-55,Unciliated epithelium RIF-1 Vs Ctrl,PGP
6.20E-74,0.589770041,0.937,0.832,1.11E-69,Unciliated epithelium RIF-1 Vs Ctrl,NDUFS5
2.43E-50,0.588269452,0.863,0.697,4.35E-46,Unciliated epithelium RIF-1 Vs Ctrl,SNRPB
6.21E-56,0.587428137,0.662,0.387,1.11E-51,Unciliated epithelium RIF-1 Vs Ctrl,RPA3
1.77E-90,0.587427174,0.984,0.968,3.17E-86,Unciliated epithelium RIF-1 Vs Ctrl,PFN1
3.32E-77,0.587411166,0.938,0.858,5.93E-73,Unciliated epithelium RIF-1 Vs Ctrl,COX6C
2.99E-52,0.585857433,0.756,0.523,5.34E-48,Unciliated epithelium RIF-1 Vs Ctrl,ARL3
2.45E-133,0.583872823,0.985,0.987,4.38E-129,Unciliated epithelium RIF-1 Vs Ctrl,RPS21
5.98E-62,0.581703429,0.863,0.733,1.07E-57,Unciliated epithelium RIF-1 Vs Ctrl,MRPL51
2.76E-75,0.581150227,0.926,0.83,4.93E-71,Unciliated epithelium RIF-1 Vs Ctrl,ATP5PF
8.51E-68,0.5769065,0.707,0.38,1.52E-63,Unciliated epithelium RIF-1 Vs Ctrl,FADS2
6.59E-67,0.576573431,0.88,0.708,1.18E-62,Unciliated epithelium RIF-1 Vs Ctrl,RPL31
3.23E-62,0.575912587,0.676,0.367,5.76E-58,Unciliated epithelium RIF-1 Vs Ctrl,PSMC3
8.94E-56,0.574849931,0.755,0.508,1.60E-51,Unciliated epithelium RIF-1 Vs Ctrl,SYAP1
2.00E-27,0.572015271,0.748,0.604,3.57E-23,Unciliated epithelium RIF-1 Vs Ctrl,KLF6
3.33E-80,0.571412525,0.654,0.296,5.95E-76,Unciliated epithelium RIF-1 Vs Ctrl,KLK10
4.73E-63,0.571305172,0.776,0.49,8.45E-59,Unciliated epithelium RIF-1 Vs Ctrl,DPM3
1.78E-57,0.570891209,0.821,0.623,3.18E-53,Unciliated epithelium RIF-1 Vs Ctrl,NAA38
2.70E-58,0.568648926,0.897,0.779,4.83E-54,Unciliated epithelium RIF-1 Vs Ctrl,TRMT112
3.43E-46,0.568425661,0.728,0.438,6.13E-42,Unciliated epithelium RIF-1 Vs Ctrl,GLRX
4.69E-57,0.5680411,0.79,0.532,8.38E-53,Unciliated epithelium RIF-1 Vs Ctrl,CDK2AP1
6.76E-53,0.566933319,0.511,0.243,1.21E-48,Unciliated epithelium RIF-1 Vs Ctrl,PCNA
4.87E-61,0.566161656,0.653,0.342,8.71E-57,Unciliated epithelium RIF-1 Vs Ctrl,C19orf33
9.99E-124,0.565919676,0.403,0.075,1.78E-119,Unciliated epithelium RIF-1 Vs Ctrl,MYBL2
1.29E-69,0.564246027,0.433,0.152,2.31E-65,Unciliated epithelium RIF-1 Vs Ctrl,ZWINT
3.35E-37,0.564129192,0.562,0.332,5.99E-33,Unciliated epithelium RIF-1 Vs Ctrl,GADD45B
3.21E-35,0.562318045,0.836,0.712,5.73E-31,Unciliated epithelium RIF-1 Vs Ctrl,TUBA1C
2.55E-63,0.560895501,0.871,0.707,4.55E-59,Unciliated epithelium RIF-1 Vs Ctrl,NDUFS6
2.47E-109,0.560449106,0.978,0.962,4.42E-105,Unciliated epithelium RIF-1 Vs Ctrl,RPL22
1.65E-69,0.559914183,0.627,0.292,2.94E-65,Unciliated epithelium RIF-1 Vs Ctrl,MTLN
3.51E-86,0.554940552,0.953,0.926,6.28E-82,Unciliated epithelium RIF-1 Vs Ctrl,TXN
1.37E-61,0.554508521,0.91,0.818,2.44E-57,Unciliated epithelium RIF-1 Vs Ctrl,APRT
1.62E-37,0.554215466,0.397,0.189,2.90E-33,Unciliated epithelium RIF-1 Vs Ctrl,ITPKC
1.05E-61,0.552545329,0.755,0.486,1.88E-57,Unciliated epithelium RIF-1 Vs Ctrl,PDCD5
6.60E-34,0.552387592,0.77,0.569,1.18E-29,Unciliated epithelium RIF-1 Vs Ctrl,ECI2
1.93E-96,0.552191828,0.972,0.951,3.45E-92,Unciliated epithelium RIF-1 Vs Ctrl,UBA52
1.39E-63,0.55211309,0.512,0.221,2.48E-59,Unciliated epithelium RIF-1 Vs Ctrl,TYMS
1.52E-65,0.548444679,0.599,0.291,2.72E-61,Unciliated epithelium RIF-1 Vs Ctrl,HMGB3
8.86E-81,0.543704398,0.342,0.081,1.58E-76,Unciliated epithelium RIF-1 Vs Ctrl,RRM2
5.85E-86,0.543377034,0.413,0.114,1.05E-81,Unciliated epithelium RIF-1 Vs Ctrl,CCNB2
1.13E-65,0.542625718,0.515,0.217,2.01E-61,Unciliated epithelium RIF-1 Vs Ctrl,ECT2
1.32E-45,0.542525745,0.612,0.355,2.37E-41,Unciliated epithelium RIF-1 Vs Ctrl,RBBP8
1.11E-50,0.542074111,0.76,0.548,1.98E-46,Unciliated epithelium RIF-1 Vs Ctrl,NDUFAF8
2.42E-56,0.541748454,0.593,0.306,4.33E-52,Unciliated epithelium RIF-1 Vs Ctrl,RILPL2
5.38E-50,0.540675748,0.855,0.697,9.61E-46,Unciliated epithelium RIF-1 Vs Ctrl,ATOX1
1.80E-38,0.539944028,0.671,0.45,3.22E-34,Unciliated epithelium RIF-1 Vs Ctrl,ARL6IP1
4.13E-54,0.539531384,0.877,0.703,7.39E-50,Unciliated epithelium RIF-1 Vs Ctrl,S100A13
1.54E-65,0.538832266,0.509,0.214,2.75E-61,Unciliated epithelium RIF-1 Vs Ctrl,MCM7
2.54E-43,0.537950021,0.797,0.593,4.53E-39,Unciliated epithelium RIF-1 Vs Ctrl,CCT5
1.74E-49,0.537280055,0.651,0.377,3.10E-45,Unciliated epithelium RIF-1 Vs Ctrl,IDI1
2.68E-40,0.536992527,0.657,0.407,4.78E-36,Unciliated epithelium RIF-1 Vs Ctrl,GNG11
6.04E-50,0.533851732,0.754,0.502,1.08E-45,Unciliated epithelium RIF-1 Vs Ctrl,ADI1
7.76E-58,0.533060564,0.8,0.56,1.39E-53,Unciliated epithelium RIF-1 Vs Ctrl,ATP5PD
3.40E-25,0.532540311,0.584,0.399,6.08E-21,Unciliated epithelium RIF-1 Vs Ctrl,TNFAIP3
3.76E-58,0.53145557,0.68,0.374,6.73E-54,Unciliated epithelium RIF-1 Vs Ctrl,SLC25A1
8.56E-46,0.530967283,0.709,0.446,1.53E-41,Unciliated epithelium RIF-1 Vs Ctrl,ACSL5
1.31E-44,0.529812331,0.767,0.548,2.34E-40,Unciliated epithelium RIF-1 Vs Ctrl,CYCS
4.35E-50,0.528649732,0.856,0.697,7.78E-46,Unciliated epithelium RIF-1 Vs Ctrl,PCBD1
1.01E-21,0.526510782,0.353,0.197,1.81E-17,Unciliated epithelium RIF-1 Vs Ctrl,DEFB1
1.72E-44,0.526483503,0.658,0.395,3.07E-40,Unciliated epithelium RIF-1 Vs Ctrl,MGLL
3.87E-53,0.525552103,0.754,0.482,6.92E-49,Unciliated epithelium RIF-1 Vs Ctrl,TLE5
5.91E-35,0.52481826,0.646,0.417,1.06E-30,Unciliated epithelium RIF-1 Vs Ctrl,RHOB
2.37E-44,0.523693918,0.809,0.613,4.23E-40,Unciliated epithelium RIF-1 Vs Ctrl,CCT2
4.50E-69,0.520262597,0.923,0.856,8.04E-65,Unciliated epithelium RIF-1 Vs Ctrl,UQCRB
1.30E-38,0.52022507,0.774,0.593,2.32E-34,Unciliated epithelium RIF-1 Vs Ctrl,SIVA1
1.57E-66,0.520204298,0.594,0.281,2.80E-62,Unciliated epithelium RIF-1 Vs Ctrl,SNRNP25
1.27E-51,0.51895689,0.698,0.423,2.27E-47,Unciliated epithelium RIF-1 Vs Ctrl,TMEM238
